timestamp,role,type,data
1766172365.2874007,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-12,0,-12,0,-12,2,-12,1,-11,0,-11,0,-11,1,-10,1,-10,1,-10,1,-10,1,-10,2,-10,2,-10,2,-9,1,-10,2,-9,3,-9,2,-9,3,-9,3,-8,2,-9,3,-8,2,-9,3,-9,3,-9,3,0,0,-8,3,-9,3,-9,3,-9,3,-9,2,-9,3,-9,2,-8,2,-8,2,-8,2,-9,2,-8,1,-8,1,-8,1,-7,0,-7,0,-7,0,-7,0,-7,0,-6,0,-6,-1,-6,-1,-6,-1,-6,-2,-5,-2,-5,-2,0,0,0,0,0,0,0,0,0,0"
1766172365.3057764,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-10,5,-10,6,-10,6,-10,6,-10,5,-9,5,-9,5,-8,5,-8,5,-8,5,-9,5,-8,6,-8,5,-8,6,-7,5,-7,6,-6,6,-7,5,-6,6,-7,6,-6,6,-6,6,-6,6,-6,6,-7,6,-6,6,0,0,-6,7,-7,6,-7,7,-6,7,-7,5,-7,6,-7,6,-6,5,-7,5,-6,5,-7,5,-7,4,-6,4,-6,3,-6,3,-6,3,-6,3,-6,3,-6,2,-6,2,-6,2,-6,2,-6,1,-6,1,-5,0,-5,0,0,0,0,0,0,0,0,0,0,0"
1766172365.3226962,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-11,4,-11,4,-10,5,-11,4,-10,4,-10,4,-9,4,-9,4,-9,4,-9,4,-9,4,-9,5,-8,4,-8,4,-8,4,-8,5,-7,5,-7,4,-7,5,-7,5,-7,4,-7,5,-7,5,-7,6,-7,5,-7,6,0,0,-7,6,-7,5,-8,6,-7,6,-7,5,-7,5,-7,5,-7,4,-7,4,-7,4,-7,4,-7,3,-7,3,-7,3,-7,2,-7,2,-6,2,-6,2,-6,1,-6,1,-6,1,-6,1,-6,0,-6,0,-5,-1,-5,-1,0,0,0,0,0,0,0,0,0,0"
1766172365.3430884,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-12,0,-11,0,-11,1,-12,0,-11,0,-10,0,-10,0,-10,1,-10,1,-9,1,-10,1,-10,2,-9,2,-9,2,-9,1,-9,3,-8,3,-8,2,-8,3,-8,2,-8,2,-8,3,-8,2,-8,3,-8,3,-8,3,0,0,-8,3,-8,3,-8,3,-8,3,-8,2,-9,2,-8,2,-8,2,-8,2,-7,2,-8,2,-7,1,-7,1,-7,1,-7,1,-7,1,-7,0,-7,0,-6,0,-6,0,-6,-1,-6,-1,-5,-1,-5,-1,-5,-2,-5,-2,0,0,0,0,0,0,0,0,0,0"
1766172365.358718,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,8,8,7,7,8,7,7,6,7,6,7,6,6,6,6,6,6,7,6,7,5,7,5,7,5,6,5,7,5,7,4,6,4,7,4,7,4,6,4,7,4,6,4,7,3,7,4,7,4,0,0,7,4,7,4,7,4,7,4,6,4,6,5,6,4,6,4,6,4,6,4,6,5,4,4,5,5,4,5,4,5,4,5,4,5,3,4,3,5,2,4,2,4,2,4,1,4,1,4,1,4,0,4,0,0,0,0,0,0,0,0,0,0"
1766172365.3795686,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-8,-10,-8,-9,-8,-8,-8,-10,-8,-8,-7,-9,-7,-8,-7,-7,-7,-8,-7,-7,-8,-8,-8,-7,-8,-7,-8,-6,-7,-6,-8,-6,-8,-6,-7,-5,-8,-5,-8,-5,-8,-5,-8,-5,-7,-5,-8,-4,-8,-5,-8,-5,0,0,-9,-5,-8,-5,-9,-5,-8,-5,-8,-5,-8,-5,-8,-5,-7,-5,-7,-5,-7,-5,-7,-6,-6,-5,-6,-5,-6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-4,-5,-3,-5,-3,-5,-3,-5,-2,-5,-2,-5,0,0,0,0,0,0,0,0,0,0"
1766172365.3965607,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,3,10,2,10,2,10,2,9,2,9,2,8,2,9,2,9,1,9,1,9,1,9,1,9,1,8,1,9,0,8,-1,8,0,8,-1,8,0,8,0,8,-1,8,-1,8,-2,8,-1,8,-1,0,0,8,-1,9,-1,8,-1,8,-1,8,-1,8,0,8,0,7,0,8,0,7,0,7,0,7,1,6,1,6,1,6,1,6,1,6,1,5,1,5,1,5,1,5,2,4,2,4,2,4,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0"
1766172365.422852,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,-12,-1,-12,-1,-12,0,-12,-1,-11,-1,-11,-1,-11,-1,-10,0,-10,0,-10,0,-11,0,-10,1,-10,0,-10,1,-10,0,-10,1,-9,2,-9,1,-9,2,-9,1,-9,1,-9,2,-8,1,-9,2,-9,2,-9,2,0,0,-9,2,-10,2,-9,2,-9,9,2,-9,3,-9,2,-9,2,-9,2,-8,1,-8,1,-8,1,-8,1,-8,0,-8,0,-8,0,-8,0,-7,0,-7,0,-7,-1,-6,-1,-6,-1,-6,-1,-6,-2,-6,-2,-5,-2,-5,-2,-40,-7,0,-7,0,-7,-1,-6,-1,-6,-1,-6,-1,-6,-2,-6,-2,-5,-2,-5,-2,-40,-7,0,-7,0,-7,-1,-6,-1,-6,-1,-6,-1,-6,-2,-6,-2,-5,-2,-5,-2,-4,-3,0,0,0,0,0,0,0,0,0,0"
1766172365.5598552,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,9,6,8,6,9,5,8,5,8,5,8,5,7,5,7,5,6,6,7,6,7,6,6,6,6,5,6,6,6,6,5,5,5,6,5,6,5,5,5,6,5,5,5,6,4,6,5,6,5,0,0,7,5,6,5,6,5,6,5,5,5,5,5,5,5,5,5,5,6,4,5,5,6,4,5,4,5,4,5,3,5,3,5,3,5,2,5,2,5,2,4,1,5,1,4,1,4,1,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0"
1766172365.576371,RX,CSI,"0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,9,6,9,5,10,5,9,5,8,5,8,5,8,5,8,5,7,5,8,6,7,6,7,6,7,5,7,6,7,6,6,5,6,6,5,6,5,5,6,6,6,5,5,6,5,6,6,6,5,0,0,6,6,6,6,6,6,6,6,5,6,5,6,5,6,5,6,5,6,5,5,5,6,4,5,4,6,3,6,3,6,3,6,3,5,2,5,2,5,2,5,1,5,1,5,1,5,1,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0"
