timestamp,role,raw_data
1765579595.8144093,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-4,10,-4,11,-4,11,-4,11,-4,10,-3,10,-3,10,-3,10,-3,10,-2,10,-3,10,-2,10,-2,9,-2,9,-2,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,8,0,9,0,8,0,9,-1,9,0,9,0,0,0,9,-1,9,0,9,0,9,-1,9,-1,9,-1,9,-1,8,-1,9,-1,8,-2,9,-2,8,-2,7,-2,7,-2,7,-2,7,-3,7,-3,6,-3,6,-3,6,-3,5,-3,5,-3,5,-4,4,-4,4,-4,4,0,0,0,0,0,0,0,0,0,0"
1765579595.823494,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-8,8,-8,8,-8,8,-8,8,-7,8,-7,8,-7,8,-6,8,-7,7,-6,8,-6,8,-6,8,-6,8,-5,8,-5,7,-5,8,-4,8,-4,7,-4,8,-4,8,-4,8,-4,8,-4,8,-3,8,-4,8,-4,8,0,0,-4,9,-4,8,-4,8,-4,8,-4,8,-4,8,-5,8,-4,8,-5,7,-5,7,-5,7,-5,6,-5,6,-5,6,-5,6,-5,6,-5,5,-5,5,-5,5,-5,4,-5,4,-5,3,-5,3,-5,3,-5,2,-5,2,0,0,0,0,0,0,0,0,0,0"
1765579595.829883,RX,"0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,7,7,7,7,7,8,6,7,7,8,6,7,7,8,6,8,6,7,5,7,5,8,5,8,5,7,5,8,4,8,4,7,4,8,4,7,4,8,4,8,4,8,4,0,0,8,4,8,4,8,4,8,5,8,4,8,5,8,5,7,4,7,5,7,5,7,5,6,5,6,5,6,5,5,5,5,5,5,5,4,5,4,5,3,5,3,5,3,5,2,5,2,5,2,5,1,5,0,0,0,0,0,0,0,0,0,0"
1765579595.839641,RX,"0,0,0,0,0,0,0,0,0,0,0,0,10,-6,10,-6,10,-6,10,-5,9,-6,9,-5,9,-5,8,-6,8,-5,8,-6,8,-6,8,-6,8,-6,7,-6,7,-6,7,-7,7,-7,6,-6,6,-7,6,-7,6,-6,6,-7,5,-7,6,-7,6,-7,6,-8,0,0,6,-8,6,-7,7,-7,6,-7,6,-7,7,-6,7,-6,6,-6,7,-6,6,-6,7,-6,6,-5,6,-5,6,-5,6,-4,6,-4,6,-4,6,-4,6,-3,6,-3,5,-3,5,-2,5,-2,5,-2,5,-1,5,-1,0,0,0,0,0,0,0,0,0,0"
1765579595.8507411,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-7,-11,-7,-11,-8,-11,-7,-11,-7,-10,-7,-10,-7,-10,-7,-9,-7,-9,-7,-8,-7,-9,-7,-9,-7,-8,-7,-8,-7,-8,-7,-8,-8,-7,-7,-7,-8,-7,-8,-7,-7,-6,-8,-6,-8,-6,-8,-7,-8,-7,-8,-7,0,0,-8,-7,-8,-7,-8,-7,-8,-7,-7,-7,-8,-7,-7,-7,-7,-7,-7,-7,-6,-7,-6,-8,-6,-7,-5,-7,-5,-7,-5,-7,-5,-7,-4,-7,-4,-7,-4,-7,-3,-6,-3,-7,-3,-6,-2,-6,-2,-6,-2,-6,-1,-6,0,0,0,0,0,0,0,0,0,0"
1765579595.8597505,RX,"0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,11,4,11,3,11,3,10,3,10,3,10,3,9,3,9,4,9,4,9,4,9,4,9,4,8,4,8,5,8,5,8,4,8,5,7,5,7,4,7,5,7,5,7,5,7,5,7,6,7,0,0,5,8,5,8,5,7,5,8,4,7,4,8,4,8,4,7,4,8,4,8,3,8,3,7,3,7,2,7,2,7,1,7,2,7,1,7,1,6,1,6,0,6,0,6,0,6,0,5,-1,5,-1,5,0,0,0,0,0,0,0,0,0,0"
1765579595.86805,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-6,9,-6,9,-6,9,-6,9,-6,9,-5,9,-5,8,-5,8,-5,8,-4,8,-4,8,-4,9,-4,8,-4,8,-4,8,-4,8,-3,8,-3,8,-3,8,-3,8,-3,8,-3,8,-2,7,-2,9,-3,8,-2,9,0,0,-3,8,-3,8,-3,8,-3,9,-3,8,-3,8,-4,8,-3,7,-4,7,-4,7,-4,7,-4,6,-4,6,-4,6,-4,6,-4,6,-4,5,-4,5,-4,5,-4,4,-4,4,-5,4,-5,3,-5,3,-4,3,-4,2,0,0,0,0,0,0,0,0,0,0"
1765579595.8774598,RX,"0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,11,2,11,1,11,1,10,1,11,2,10,2,10,2,10,2,9,1,10,2,10,2,9,2,9,2,8,3,9,3,9,3,8,3,8,3,8,3,8,4,8,3,8,4,8,3,8,4,8,0,0,4,8,4,8,3,8,4,9,3,8,3,8,3,9,3,8,2,8,2,8,2,9,1,7,1,7,1,7,1,7,0,7,0,7,0,7,0,7,0,6,-1,6,-1,6,-1,5,-2,5,-2,5,-2,4,0,0,0,0,0,0,0,0,0,0"
1765579595.8868926,RX,"0,0,0,0,0,0,0,0,0,0,0,0,8,-7,8,-7,8,-7,8,-6,8,-7,7,-7,7,-7,7,-7,7,-6,6,-7,6,-6,6,-7,6,-7,6,-7,5,-7,5,-7,5,-7,5,-7,5,-8,5,-7,4,-7,4,-8,4,-7,4,-8,5,-7,4,-8,0,0,4,-8,5,-8,4,-8,5,-8,5,-7,5,-7,5,-7,5,-7,5,-7,5,-6,5,-6,5,-6,5,-5,5,-6,5,-5,5,-5,5,-5,5,-5,5,-4,4,-4,5,-4,4,-3,4,-3,5,-3,4,-2,4,-2,0,0,0,0,0,0,0,0,0,0"
1765579595.8956985,RX,"0,0,0,0,0,0,0,0,0,0,0,0,-12,0,-12,0,-12,1,-12,0,-11,1,-11,0,-11,1,-10,1,-10,1,-10,2,-10,1,-10,2,-10,2,-10,2,-9,2,-10,2,-9,3,-9,2,-9,3,-9,3,-8,3,-9,3,-8,3,-9,4,-9,3,-9,3,0,0,-9,3,-9,3,-9,3,-9,3,-9,3,-9,2,-9,2,-9,2,-9,2,-9,2,-9,1,-8,1,-8,1,-8,1,-8,0,-8,0,-8,0,-7,0,-7,0,-7,0,-7,-1,-6,-1,-6,-1,-6,-2,-6,-2,-5,-2,0,0,0,0,0,0,0,0,0,0"
